mechanism,gcc,alignment,run,ns_per_call
bench_virtual,gcc11,default,1,2.90
bench_virtual,gcc11,default,2,2.88
bench_virtual,gcc11,default,3,2.87
bench_virtual,gcc11,align32,1,2.42
bench_virtual,gcc11,align32,2,2.42
bench_virtual,gcc11,align32,3,2.43
bench_virtual,gcc11,align64,1,2.40
bench_virtual,gcc11,align64,2,2.44
bench_virtual,gcc11,align64,3,2.40
bench_virtual,gcc13,default,1,2.41
bench_virtual,gcc13,default,2,2.39
bench_virtual,gcc13,default,3,2.39
bench_virtual,gcc13,align32,1,2.42
bench_virtual,gcc13,align32,2,2.39
bench_virtual,gcc13,align32,3,2.50
bench_virtual,gcc13,align64,1,2.42
bench_virtual,gcc13,align64,2,2.39
bench_virtual,gcc13,align64,3,2.39
bench_virtual,gcc15,default,1,2.89
bench_virtual,gcc15,default,2,2.87
bench_virtual,gcc15,default,3,2.87
bench_virtual,gcc15,align32,1,2.42
bench_virtual,gcc15,align32,2,2.39
bench_virtual,gcc15,align32,3,2.39
bench_virtual,gcc15,align64,1,2.40
bench_virtual,gcc15,align64,2,2.39
bench_virtual,gcc15,align64,3,2.39
bench_fnptr,gcc11,default,1,2.42
bench_fnptr,gcc11,default,2,2.39
bench_fnptr,gcc11,default,3,2.39
bench_fnptr,gcc11,align32,1,2.42
bench_fnptr,gcc11,align32,2,2.39
bench_fnptr,gcc11,align32,3,2.39
bench_fnptr,gcc11,align64,1,2.41
bench_fnptr,gcc11,align64,2,2.39
bench_fnptr,gcc11,align64,3,2.40
bench_fnptr,gcc13,default,1,3.37
bench_fnptr,gcc13,default,2,3.35
bench_fnptr,gcc13,default,3,3.35
bench_fnptr,gcc13,align32,1,2.39
bench_fnptr,gcc13,align32,2,2.39
bench_fnptr,gcc13,align32,3,2.41
bench_fnptr,gcc13,align64,1,2.41
bench_fnptr,gcc13,align64,2,2.39
bench_fnptr,gcc13,align64,3,2.43
bench_fnptr,gcc15,default,1,3.35
bench_fnptr,gcc15,default,2,3.35
bench_fnptr,gcc15,default,3,3.35
bench_fnptr,gcc15,align32,1,2.42
bench_fnptr,gcc15,align32,2,2.39
bench_fnptr,gcc15,align32,3,2.41
bench_fnptr,gcc15,align64,1,2.42
bench_fnptr,gcc15,align64,2,2.39
bench_fnptr,gcc15,align64,3,2.40
bench_variant,gcc11,default,1,3.62
bench_variant,gcc11,default,2,3.77
bench_variant,gcc11,default,3,3.62
bench_variant,gcc11,align32,1,3.63
bench_variant,gcc11,align32,2,3.74
bench_variant,gcc11,align32,3,3.73
bench_variant,gcc11,align64,1,3.68
bench_variant,gcc11,align64,2,3.74
bench_variant,gcc11,align64,3,3.59
bench_variant,gcc13,default,1,1.47
bench_variant,gcc13,default,2,1.44
bench_variant,gcc13,default,3,1.44
bench_variant,gcc13,align32,1,1.46
bench_variant,gcc13,align32,2,1.44
bench_variant,gcc13,align32,3,1.45
bench_variant,gcc13,align64,1,1.46
bench_variant,gcc13,align64,2,1.45
bench_variant,gcc13,align64,3,1.44
bench_variant,gcc15,default,1,1.45
bench_variant,gcc15,default,2,1.44
bench_variant,gcc15,default,3,1.44
bench_variant,gcc15,align32,1,1.47
bench_variant,gcc15,align32,2,1.44
bench_variant,gcc15,align32,3,1.44
bench_variant,gcc15,align64,1,1.46
bench_variant,gcc15,align64,2,1.44
bench_variant,gcc15,align64,3,1.44
bench_crtp,gcc11,default,1,2.88
bench_crtp,gcc11,default,2,2.87
bench_crtp,gcc11,default,3,2.87
bench_crtp,gcc11,align32,1,2.41
bench_crtp,gcc11,align32,2,2.39
bench_crtp,gcc11,align32,3,2.40
bench_crtp,gcc11,align64,1,2.41
bench_crtp,gcc11,align64,2,2.39
bench_crtp,gcc11,align64,3,2.41
bench_crtp,gcc13,default,1,3.35
bench_crtp,gcc13,default,2,3.35
bench_crtp,gcc13,default,3,3.35
bench_crtp,gcc13,align32,1,2.41
bench_crtp,gcc13,align32,2,2.39
bench_crtp,gcc13,align32,3,2.39
bench_crtp,gcc13,align64,1,2.42
bench_crtp,gcc13,align64,2,2.39
bench_crtp,gcc13,align64,3,2.40
bench_crtp,gcc15,default,1,2.42
bench_crtp,gcc15,default,2,2.39
bench_crtp,gcc15,default,3,2.41
bench_crtp,gcc15,align32,1,2.41
bench_crtp,gcc15,align32,2,2.39
bench_crtp,gcc15,align32,3,2.40
bench_crtp,gcc15,align64,1,2.41
bench_crtp,gcc15,align64,2,2.39
bench_crtp,gcc15,align64,3,2.43
